p_name,m_name
アブソル,あくのはどう
オニゴーリ,あくのはどう
デオキシス,あくのはどう
ムウマージ,あくのはどう
ドンカラス,あくのはどう
スカンプー,あくのはどう
スカタンク,あくのはどう
ミカルゲ,あくのはどう
ルカリオ,あくのはどう
スコルピ,あくのはどう
ドラピオン,あくのはどう
グレッグル,あくのはどう
ドクロッグ,あくのはどう
マニューラ,あくのはどう
グライオン,あくのはどう
ポリゴンZ,あくのはどう
ヨノワール,あくのはどう
ヒードラン,あくのはどう
ギラティナ（アナザーフォルム）,あくのはどう
ギラティナ（オリジンフォルム）,あくのはどう
ダークライ,あくのはどう
アルセウス,あくのはどう
チョロネコ,あくのはどう
レパルダス,あくのはどう
メグロコ,あくのはどう
ワルビル,あくのはどう
ワルビアル,あくのはどう
ズルッグ,あくのはどう
ズルズキン,あくのはどう
シンボラー,あくのはどう
デスマス,あくのはどう
デスカーン,あくのはどう
ヤブクロン,あくのはどう
ダストダス,あくのはどう
ゾロア,あくのはどう
ゾロアーク,あくのはどう
ゴチム,あくのはどう
ゴチミル,あくのはどう
ゴチルゼル,あくのはどう
プルリル,あくのはどう
ブルンゲル,あくのはどう
リグレー,あくのはどう
オーベム,あくのはどう
ヒトモシ,あくのはどう
ランプラー,あくのはどう
シャンデラ,あくのはどう
クリムガン,あくのはどう
コマタナ,あくのはどう
キリキザン,あくのはどう
バルチャイ,あくのはどう
バルジーナ,あくのはどう
モノズ,あくのはどう
ジヘッド,あくのはどう
サザンドラ,あくのはどう
メラルバ,あくのはどう
ウルガモス,あくのはどう
トルネロス（けしんフォルム）,あくのはどう
トルネロス（れいじゅうフォルム）,あくのはどう
ボルトロス（けしんフォルム）,あくのはどう
ボルトロス（れいじゅうフォルム）,あくのはどう
ゲノセクト,あくのはどう
ゲコガシラ,あくのはどう
ゲッコウガ,あくのはどう
シシコ,あくのはどう
カエンジシ,あくのはどう
ヤンチャム,あくのはどう
ゴロンダ,あくのはどう
トリミアン,あくのはどう
ニャスパー,あくのはどう
ニャオニクス,あくのはどう
マーイーカ,あくのはどう
カラマネロ,あくのはどう
ブロスター,あくのはどう
エリキテル,あくのはどう
エレザード,あくのはどう
チゴラス,あくのはどう
ガチゴラス,あくのはどう
アマルス,あくのはどう
アマルルガ,あくのはどう
ボクレー,あくのはどう
オーロット,あくのはどう
バケッチャ,あくのはどう
パンプジン,あくのはどう
オンバット,あくのはどう
オンバーン,あくのはどう
イベルタル,あくのはどう
ガオガエン,あくのはどう
グソクムシャ,あくのはどう
ミミッキュ,あくのはどう
アクジキング,あくのはどう
ネクロズマ,あくのはどう
アーゴヨン,あくのはどう
ズガドーン,あくのはどう
ピッピ,アシストパワー
ピクシー,アシストパワー
イーブイ,アシストパワー
シャワーズ,アシストパワー
サンダース,アシストパワー
ブースター,アシストパワー
ピィ,アシストパワー
トゲピー,アシストパワー
トゲチック,アシストパワー
ネイティ,アシストパワー
ネイティオ,アシストパワー
エーフィ,アシストパワー
ブラッキー,アシストパワー
サーナイト,アシストパワー
チリーン,アシストパワー
ラティアス,アシストパワー
ラティオス,アシストパワー
ナエトル,アシストパワー
エンペルト,アシストパワー
リーシャン,アシストパワー
トゲキッス,アシストパワー
リーフィア,アシストパワー
グレイシア,アシストパワー
エルレイド,アシストパワー
ビクティニ,アシストパワー
ムンナ,アシストパワー
ムシャーナ,アシストパワー
コロモリ,アシストパワー
ココロモリ,アシストパワー
シンボラー,アシストパワー
ニャオニクス,アシストパワー
ニンフィア,アシストパワー
ヤレユータン,アシストパワー
ネクロズマ,アシストパワー
ズガドーン,アシストパワー
アーボ,アシッドボム
アーボック,アシッドボム
マダツボミ,アシッドボム
ウツドン,アシッドボム
ウツボット,アシッドボム
メノクラゲ,アシッドボム
ドククラゲ,アシッドボム
アローラベトベター,アシッドボム
ベトベター,アシッドボム
アローラベトベトン,アシッドボム
ベトベトン,アシッドボム
ウパー,アシッドボム
ハリーセン,アシッドボム
テッポウオ,アシッドボム
オクタン,アシッドボム
ゴクリン,アシッドボム
マルノーム,アシッドボム
スカンプー,アシッドボム
スカタンク,アシッドボム
マスキッパ,アシッドボム
ズルッグ,アシッドボム
ズルズキン,アシッドボム
ヤブクロン,アシッドボム
ダストダス,アシッドボム
テッシード,アシッドボム
ナットレイ,アシッドボム
シビビール,アシッドボム
シビルドン,アシッドボム
アギルダー,アシッドボム
ウツロイド,アシッドボム
ネイティ,あやしいかぜ
ネイティオ,あやしいかぜ
ムウマ,あやしいかぜ
アメモース,あやしいかぜ
ポワルン,あやしいかぜ
カゲボウズ,あやしいかぜ
ジュペッタ,あやしいかぜ
ヨマワル,あやしいかぜ
サマヨール,あやしいかぜ
フワンテ,あやしいかぜ
フワライド,あやしいかぜ
ムウマージ,あやしいかぜ
ミカルゲ,あやしいかぜ
ヨノワール,あやしいかぜ
ユキメノコ,あやしいかぜ
ギラティナ（アナザーフォルム）,あやしいかぜ
ギラティナ（オリジンフォルム）,あやしいかぜ
ダークライ,あやしいかぜ
デスマス,あやしいかぜ
デスカーン,あやしいかぜ
プルリル,あやしいかぜ
ブルンゲル,あやしいかぜ
モクロー,あやしいかぜ
フクスロー,あやしいかぜ
ジュナイパー,あやしいかぜ
ゼニガメ,あわ
カメール,あわ
カメックス,あわ
ニョロモ,あわ
ニョロゾ,あわ
メノクラゲ,あわ
ドククラゲ,あわ
クラブ,あわ
キングラー,あわ
タッツー,あわ
シードラ,あわ
チョンチー,あわ
ランターン,あわ
マリル,あわ
マリルリ,あわ
ハリーセン,あわ
サニーゴ,あわ
マンタイン,あわ
キングドラ,あわ
ハスボー,あわ
ハスブレロ,あわ
アメタマ,あわ
アメモース,あわ
ルリリ,あわ
ヘイガニ,あわ
シザリガー,あわ
ポッチャマ,あわ
ポッタイシ,あわ
タマンタ,あわ
フィオネ,あわ
マナフィ,あわ
オタマロ,あわ
ガマガル,あわ
ガマゲロゲ,あわ
プルリル,あわ
ブルンゲル,あわ
ケロマツ,あわ
ゲコガシラ,あわ
ゲッコウガ,あわ
クズモー,あわ
ドラミドロ,あわ
ウデッポウ,あわ
ブロスター,あわ
ヌメラ,あわ
ヌメイル,あわ
ヌメルゴン,あわ
マケンカニ,あわ
ケケンカニ,あわ
シズクモ,あわ
オニシズクモ,あわ
フーパ（いましめられしフーパ）,いじげんホール
アローラコラッタ,いのちがけ
コラッタ,いのちがけ
アローララッタ,いのちがけ
ラッタ,いのちがけ
アローラディグダ,いのちがけ
ディグダ,いのちがけ
アローラダグトリオ,いのちがけ
ダグトリオ,いのちがけ
オコリザル,いのちがけ
カモネギ,いのちがけ
ツボツボ,いのちがけ
ツチニン,いのちがけ
テッカニン,いのちがけ
ヌケニン,いのちがけ
ザングース,いのちがけ
ハブネーク,いのちがけ
ムックル,いのちがけ
ムクバード,いのちがけ
ムクホーク,いのちがけ
ビクティニ,いのちがけ
バスラオ,いのちがけ
チョボマキ,いのちがけ
アギルダー,いのちがけ
フシギダネ,いびき
フシギソウ,いびき
フシギバナ,いびき
ヒトカゲ,いびき
リザード,いびき
リザードン,いびき
ゼニガメ,いびき
カメール,いびき
カメックス,いびき
キャタピー,いびき
バタフリー,いびき
スピアー,いびき
ポッポ,いびき
ピジョン,いびき
ピジョット,いびき
アローラコラッタ,いびき
コラッタ,いびき
アローララッタ,いびき
ラッタ,いびき
オニスズメ,いびき
オニドリル,いびき
アーボ,いびき
アーボック,いびき
ピカチュウ,いびき
アローラライチュウ,いびき
ライチュウ,いびき
アローラサンド,いびき
サンド,いびき
アローラサンドパン,いびき
サンドパン,いびき
ニドラン♀,いびき
ニドリーナ,いびき
ニドクイン,いびき
ニドラン♂,いびき
ニドリーノ,いびき
ニドキング,いびき
ピッピ,いびき
ピクシー,いびき
アローラロコン,いびき
ロコン,いびき
アローラキュウコン,いびき
キュウコン,いびき
プリン,いびき
プクリン,いびき
ズバット,いびき
ゴルバット,いびき
ナゾノクサ,いびき
クサイハナ,いびき
ラフレシア,いびき
パラス,いびき
パラセクト,いびき
コンパン,いびき
モルフォン,いびき
アローラディグダ,いびき
ディグダ,いびき
アローラダグトリオ,いびき
ダグトリオ,いびき
アローラニャース,いびき
ニャース,いびき
アローラペルシアン,いびき
ペルシアン,いびき
コダック,いびき
ゴルダック,いびき
マンキー,いびき
オコリザル,いびき
ガーディ,いびき
ウインディ,いびき
ニョロモ,いびき
ニョロゾ,いびき
ニョロボン,いびき
ケーシィ,いびき
ユンゲラー,いびき
フーディン,いびき
ワンリキー,いびき
ゴーリキー,いびき
カイリキー,いびき
マダツボミ,いびき
ウツドン,いびき
ウツボット,いびき
メノクラゲ,いびき
ドククラゲ,いびき
アローライシツブテ,いびき
イシツブテ,いびき
アローラゴローン,いびき
ゴローン,いびき
アローラゴローニャ,いびき
ゴローニャ,いびき
ポニータ,いびき
ギャロップ,いびき
ヤドン,いびき
ヤドラン,いびき
コイル,いびき
レアコイル,いびき
カモネギ,いびき
ドードー,いびき
ドードリオ,いびき
パウワウ,いびき
ジュゴン,いびき
アローラベトベター,いびき
ベトベター,いびき
アローラベトベトン,いびき
ベトベトン,いびき
シェルダー,いびき
パルシェン,いびき
ゴース,いびき
ゴースト,いびき
ゲンガー,いびき
イワーク,いびき
スリープ,いびき
スリーパー,いびき
クラブ,いびき
キングラー,いびき
ビリリダマ,いびき
マルマイン,いびき
タマタマ,いびき
アローラナッシー,いびき
ナッシー,いびき
カラカラ,いびき
アローラガラガラ,いびき
ガラガラ,いびき
サワムラー,いびき
エビワラー,いびき
ベロリンガ,いびき
ドガース,いびき
マタドガス,いびき
サイホーン,いびき
サイドン,いびき
ラッキー,いびき
モンジャラ,いびき
ガルーラ,いびき
タッツー,いびき
シードラ,いびき
トサキント,いびき
アズマオウ,いびき
ヒトデマン,いびき
スターミー,いびき
バリヤード,いびき
ストライク,いびき
ルージュラ,いびき
エレブー,いびき
ブーバー,いびき
カイロス,いびき
ケンタロス,いびき
ギャラドス,いびき
ラプラス,いびき
イーブイ,いびき
シャワーズ,いびき
サンダース,いびき
ブースター,いびき
ポリゴン,いびき
オムナイト,いびき
オムスター,いびき
カブト,いびき
カブトプス,いびき
プテラ,いびき
カビゴン,いびき
フリーザー,いびき
サンダー,いびき
ファイヤー,いびき
ミニリュウ,いびき
ハクリュー,いびき
カイリュー,いびき
ミュウツー,いびき
ミュウ,いびき
チコリータ,いびき
ベイリーフ,いびき
メガニウム,いびき
ヒノアラシ,いびき
マグマラシ,いびき
バクフーン,いびき
ワニノコ,いびき
アリゲイツ,いびき
オーダイル,いびき
オタチ,いびき
オオタチ,いびき
ホーホー,いびき
ヨルノズク,いびき
レディバ,いびき
レディアン,いびき
イトマル,いびき
アリアドス,いびき
クロバット,いびき
チョンチー,いびき
ランターン,いびき
ピチュー,いびき
ピィ,いびき
ププリン,いびき
トゲピー,いびき
トゲチック,いびき
ネイティ,いびき
ネイティオ,いびき
メリープ,いびき
モココ,いびき
デンリュウ,いびき
キレイハナ,いびき
マリル,いびき
マリルリ,いびき
ウソッキー,いびき
ニョロトノ,いびき
ハネッコ,いびき
ポポッコ,いびき
ワタッコ,いびき
エイパム,いびき
ヒマナッツ,いびき
キマワリ,いびき
ヤンヤンマ,いびき
ウパー,いびき
ヌオー,いびき
エーフィ,いびき
ブラッキー,いびき
ヤミカラス,いびき
ヤドキング,いびき
ムウマ,いびき
キリンリキ,いびき
クヌギダマ,いびき
フォレトス,いびき
ノコッチ,いびき
グライガー,いびき
ハガネール,いびき
ブルー,いびき
グランブル,いびき
ハリーセン,いびき
ハッサム,いびき
ツボツボ,いびき
ヘラクロス,いびき
ニューラ,いびき
ヒメグマ,いびき
リングマ,いびき
マグマッグ,いびき
マグカルゴ,いびき
ウリムー,いびき
イノムー,いびき
サニーゴ,いびき
テッポウオ,いびき
オクタン,いびき
デリバード,いびき
マンタイン,いびき
エアームド,いびき
デルビル,いびき
ヘルガー,いびき
キングドラ,いびき
ゴマゾウ,いびき
ドンファン,いびき
ポリゴン2,いびき
オドシシ,いびき
バルキー,いびき
カポエラー,いびき
ムチュール,いびき
エレキッド,いびき
ブビィ,いびき
ミルタンク,いびき
ハピナス,いびき
ライコウ,いびき
エンテイ,いびき
スイクン,いびき
ヨーギラス,いびき
サナギラス,いびき
バンギラス,いびき
ルギア,いびき
ホウオウ,いびき
セレビィ,いびき
キモリ,いびき
ジュプトル,いびき
ジュカイン,いびき
アチャモ,いびき
ワカシャモ,いびき
バシャーモ,いびき
ミズゴロウ,いびき
ヌマクロー,いびき
ラグラージ,いびき
ポチエナ,いびき
グラエナ,いびき
ジグザグマ,いびき
マッスグマ,いびき
ケムッソ,いびき
アゲハント,いびき
ドクケイル,いびき
ハスボー,いびき
ハスブレロ,いびき
ルンパッパ,いびき
タネボー,いびき
コノハナ,いびき
ダーテング,いびき
スバメ,いびき
オオスバメ,いびき
キャモメ,いびき
ペリッパー,いびき
ラルトス,いびき
キルリア,いびき
サーナイト,いびき
アメタマ,いびき
アメモース,いびき
キノココ,いびき
キノガッサ,いびき
ナマケロ,いびき
ヤルキモノ,いびき
ケッキング,いびき
ツチニン,いびき
テッカニン,いびき
ヌケニン,いびき
ゴニョニョ,いびき
ドゴーム,いびき
バクオング,いびき
マクノシタ,いびき
ハリテヤマ,いびき
ルリリ,いびき
ノズパス,いびき
エネコ,いびき
エネコロロ,いびき
ヤミラミ,いびき
クチート,いびき
ココドラ,いびき
コドラ,いびき
ボスゴドラ,いびき
アサナン,いびき
チャーレム,いびき
ラクライ,いびき
ライボルト,いびき
プラスル,いびき
マイナン,いびき
バルビート,いびき
イルミーゼ,いびき
ロゼリア,いびき
ゴクリン,いびき
マルノーム,いびき
キバニア,いびき
サメハダー,いびき
ホエルコ,いびき
ホエルオー,いびき
ドンメル,いびき
バクーダ,いびき
コータス,いびき
バネブー,いびき
ブーピッグ,いびき
パッチール,いびき
ナックラー,いびき
ビブラーバ,いびき
フライゴン,いびき
サボネア,いびき
ノクタス,いびき
チルット,いびき
チルタリス,いびき
ザングース,いびき
ハブネーク,いびき
ルナトーン,いびき
ソルロック,いびき
ドジョッチ,いびき
ナマズン,いびき
ヘイガニ,いびき
シザリガー,いびき
ヤジロン,いびき
ネンドール,いびき
リリーラ,いびき
ユレイドル,いびき
アノプス,いびき
アーマルド,いびき
ヒンバス,いびき
ミロカロス,いびき
ポワルン,いびき
カクレオン,いびき
カゲボウズ,いびき
ジュペッタ,いびき
ヨマワル,いびき
サマヨール,いびき
トロピウス,いびき
チリーン,いびき
アブソル,いびき
ユキワラシ,いびき
オニゴーリ,いびき
タマザラシ,いびき
トドグラー,いびき
トドゼルガ,いびき
パールル,いびき
ハンテール,いびき
サクラビス,いびき
ジーランス,いびき
ラブカス,いびき
タツベイ,いびき
コモルー,いびき
ボーマンダ,いびき
メタング,いびき
メタグロス,いびき
レジロック,いびき
レジアイス,いびき
レジスチル,いびき
ラティアス,いびき
ラティオス,いびき
カイオーガ,いびき
グラードン,いびき
レックウザ,いびき
ジラーチ,いびき
デオキシス,いびき
ナエトル,いびき
ハヤシガメ,いびき
ドダイトス,いびき
ヒコザル,いびき
モウカザル,いびき
ゴウカザル,いびき
ポッチャマ,いびき
ポッタイシ,いびき
エンペルト,いびき
ムックル,いびき
ムクバード,いびき
ムクホーク,いびき
ビッパ,いびき
ビーダル,いびき
コロボーシ,いびき
コロトック,いびき
コリンク,いびき
ルクシオ,いびき
レントラー,いびき
スボミー,いびき
ロズレイド,いびき
ズガイドス,いびき
ラムパルド,いびき
タテトプス,いびき
トリデプス,いびき
ミノムッチ,いびき
ミノマダム（くさきのミノ）,いびき
ミノマダム（ゴミのミノ）,いびき
ミノマダム（すなちのミノ）,いびき
ガーメイル,いびき
ミツハニー,いびき
ビークイン,いびき
パチリス,いびき
ブイゼル,いびき
フローゼル,いびき
チェリンボ,いびき
チェリム,いびき
カラナクシ,いびき
トリトドン,いびき
エテボース,いびき
フワンテ,いびき
フワライド,いびき
ミミロル,いびき
ミミロップ,いびき
ムウマージ,いびき
ドンカラス,いびき
ニャルマー,いびき
ブニャット,いびき
リーシャン,いびき
スカンプー,いびき
スカタンク,いびき
ドーミラー,いびき
ドータクン,いびき
ウソハチ,いびき
マネネ,いびき
ピンプク,いびき
ペラップ,いびき
ミカルゲ,いびき
フカマル,いびき
ガバイト,いびき
ガブリアス,いびき
ゴンベ,いびき
リオル,いびき
ルカリオ,いびき
ヒポポタス,いびき
カバルドン,いびき
スコルピ,いびき
ドラピオン,いびき
グレッグル,いびき
ドクロッグ,いびき
マスキッパ,いびき
ケイコウオ,いびき
ネオラント,いびき
タマンタ,いびき
ユキカブリ,いびき
ユキノオー,いびき
マニューラ,いびき
ジバコイル,いびき
ベロベルト,いびき
ドサイドン,いびき
モジャンボ,いびき
エレキブル,いびき
ブーバーン,いびき
トゲキッス,いびき
メガヤンマ,いびき
リーフィア,いびき
グレイシア,いびき
グライオン,いびき
マンムー,いびき
ポリゴンZ,いびき
エルレイド,いびき
ダイノーズ,いびき
ヨノワール,いびき
ユキメノコ,いびき
ウォッシュロトム,いびき
カットロトム,いびき
スピンロトム,いびき
ヒートロトム,いびき
フロストロトム,いびき
ロトム,いびき
ユクシー,いびき
エムリット,いびき
アグノム,いびき
ディアルガ,いびき
パルキア,いびき
ヒードラン,いびき
レジギガス,いびき
ギラティナ（アナザーフォルム）,いびき
ギラティナ（オリジンフォルム）,いびき
クレセリア,いびき
フィオネ,いびき
マナフィ,いびき
ダークライ,いびき
シェイミ（スカイフォルム）,いびき
シェイミ（ランドフォルム）,いびき
アルセウス,いびき
ビクティニ,いびき
ツタージャ,いびき
ジャノビー,いびき
ジャローダ,いびき
ポカブ,いびき
チャオブー,いびき
エンブオー,いびき
ミジュマル,いびき
フタチマル,いびき
ダイケンキ,いびき
ミネズミ,いびき
ミルホッグ,いびき
ヨーテリー,いびき
ハーデリア,いびき
ムーランド,いびき
チョロネコ,いびき
レパルダス,いびき
ヤナップ,いびき
ヤナッキー,いびき
バオップ,いびき
バオッキー,いびき
ヒヤップ,いびき
ヒヤッキー,いびき
ムンナ,いびき
ムシャーナ,いびき
マメパト,いびき
ハトーボー,いびき
ケンホロウ,いびき
シママ,いびき
ゼブライカ,いびき
ダンゴロ,いびき
ガントル,いびき
ギガイアス,いびき
コロモリ,いびき
ココロモリ,いびき
モグリュー,いびき
ドリュウズ,いびき
タブンネ,いびき
ドッコラー,いびき
ドテッコツ,いびき
ローブシン,いびき
オタマロ,いびき
ガマガル,いびき
ガマゲロゲ,いびき
ナゲキ,いびき
ダゲキ,いびき
クルミル,いびき
クルマユ,いびき
ハハコモリ,いびき
フシデ,いびき
ホイーガ,いびき
ペンドラー,いびき
モンメン,いびき
エルフーン,いびき
チュリネ,いびき
ドレディア,いびき
バスラオ,いびき
メグロコ,いびき
ワルビル,いびき
ワルビアル,いびき
ダルマッカ,いびき
ヒヒダルマ,いびき
ヒヒダルマ（ダルマモード）,いびき
マラカッチ,いびき
イシズマイ,いびき
イワパレス,いびき
ズルッグ,いびき
ズルズキン,いびき
シンボラー,いびき
デスマス,いびき
デスカーン,いびき
プロトーガ,いびき
アバゴーラ,いびき
アーケン,いびき
アーケオス,いびき
ヤブクロン,いびき
ダストダス,いびき
ゾロア,いびき
ゾロアーク,いびき
チラーミィ,いびき
チラチーノ,いびき
ゴチム,いびき
ゴチミル,いびき
ゴチルゼル,いびき
ユニラン,いびき
ダブラン,いびき
ランクルス,いびき
コアルヒー,いびき
スワンナ,いびき
バニプッチ,いびき
バニリッチ,いびき
バイバニラ,いびき
シキジカ,いびき
メブキジカ,いびき
エモンガ,いびき
カブルモ,いびき
シュバルゴ,いびき
タマゲタケ,いびき
モロバレル,いびき
プルリル,いびき
ブルンゲル,いびき
ママンボウ,いびき
バチュル,いびき
デンチュラ,いびき
テッシード,いびき
ナットレイ,いびき
ギアル,いびき
ギギアル,いびき
ギギギアル,いびき
シビビール,いびき
シビルドン,いびき
リグレー,いびき
オーベム,いびき
ヒトモシ,いびき
ランプラー,いびき
シャンデラ,いびき
キバゴ,いびき
オノンド,いびき
オノノクス,いびき
クマシュン,いびき
ツンベアー,いびき
フリージオ,いびき
チョボマキ,いびき
アギルダー,いびき
マッギョ,いびき
