p_name,m_name,m_type,m_tech,m_power,m_acc,m_pp
ピィ,こごえるかぜ,こおり,特殊,55,95,15
ピィ,かげぶんしん,ノーマル,変化,0,0,15
ピィ,じゅうりょく,エスパー,変化,0,0,5
ピィ,テレキネシス,エスパー,変化,0,0,15
ピィ,ひかりのかべ,エスパー,変化,0,0,30
ピィ,ふるいたてる,ノーマル,変化,0,0,30
ピィ,リフレクター,エスパー,変化,0,0,20
ピィ,ハイパーボイス,ノーマル,特殊,90,100,10
ピィ,めざめるパワー,ノーマル,特殊,60,100,15
ピィ,アイアンテール,はがね,物理,100,75,15
ピィ,しねんのずつき,エスパー,物理,80,90,15
ピィ,かえんほうしゃ,ほのお,特殊,90,100,15
ピィ,アロマセラピー,くさ,変化,0,0,5
ピィ,いやしのはどう,エスパー,変化,0,0,10
ピィ,おさきにどうぞ,ノーマル,変化,0,0,15
ピィ,アシストパワー,エスパー,特殊,20,100,10
ピィ,しんぴのまもり,ノーマル,変化,0,0,25
ピィ,サイコキネシス,エスパー,特殊,90,100,10
ピィ,サイコショック,エスパー,特殊,80,100,10
ピィ,てんしのキッス,フェアリー,変化,0,75,10
ピィ,ないしょばなし,ノーマル,変化,0,0,20
ピィ,シグナルビーム,むし,特殊,75,100,15
ピィ,マジックコート,エスパー,変化,0,0,15
ピィ,シャドーボール,ゴースト,特殊,80,100,15
ピィ,ワンダールーム,エスパー,変化,0,0,10
ピィ,ソーラービーム,くさ,特殊,120,100,10
ピィ,ミストフィールド,フェアリー,変化,0,0,10
アーボ,いびき,ノーマル,特殊,50,100,15
アーボ,きつけ,ノーマル,物理,70,100,10
アーボ,じしん,じめん,物理,100,100,10
アーボ,ゲップ,どく,特殊,120,90,10
アーボ,いえき,どく,変化,0,100,10
アーボ,いばる,ノーマル,変化,0,85,15
アーボ,うらみ,ゴースト,変化,0,100,10
アーボ,ねごと,ノーマル,変化,0,0,10
アーボ,ねむる,エスパー,変化,0,0,10
アーボ,まもる,ノーマル,変化,0,0,10
アーボ,はきだす,ノーマル,特殊,0,100,10
アーボ,おいうち,あく,物理,40,100,20
アーボ,かみつく,あく,物理,60,100,25
アーボ,じならし,じめん,物理,60,100,20
アーボ,どくづき,どく,物理,80,100,20
アーボ,どくばり,どく,物理,15,100,35
アーボ,どろぼう,あく,物理,60,100,25
アーボ,ふいうち,あく,物理,70,100,5
アーボ,まきつく,ノーマル,物理,15,90,20
アーボ,あまごい,みず,変化,0,0,5
アーボ,すりかえ,あく,変化,0,100,10
アーボ,どくどく,どく,変化,0,90,10
アーボ,のみこむ,ノーマル,変化,0,0,10
アーボ,みがわり,ノーマル,変化,0,0,10
アーボ,メロメロ,ノーマル,変化,0,100,15
アーボ,よこどり,あく,変化,0,0,10
アーボ,りんしょう,ノーマル,特殊,60,100,15
アーボ,いわなだれ,いわ,物理,75,90,10
アーボ,おんがえし,ノーマル,物理,0,100,20
アーボ,からげんき,ノーマル,物理,70,100,20
アーボ,しめつける,ノーマル,物理,15,85,20
アーボ,ぶんまわす,あく,物理,65,100,20
アーボ,やつあたり,ノーマル,物理,0,100,20
アーボ,いちゃもん,あく,変化,0,100,15
アーボ,いやなおと,ノーマル,変化,0,85,40
アーボ,かなしばり,ノーマル,変化,0,100,20
アーボ,くろいきり,こおり,変化,0,0,30
アーボ,こわいかお,ノーマル,変化,0,100,10
アーボ,たくわえる,ノーマル,変化,0,0,20
アーボ,にほんばれ,ほのお,変化,0,0,5
アーボ,へびにらみ,ノーマル,変化,0,100,30
アーボ,まとわりつく,むし,特殊,20,100,20
アーボ,ようかいえき,どく,特殊,40,100,30
アーボ,アクアテール,みず,物理,90,90,10
アーボ,しっぺがえし,あく,物理,50,100,10
アーボ,たたきつける,ノーマル,物理,80,75,20
アーボ,タネばくだん,くさ,物理,80,100,15
アーボ,ギガドレイン,くさ,特殊,75,100,10
アーボ,ふくろだたき,あく,物理,0,100,10
アーボ,あくのはどう,あく,特殊,80,100,15
アーボ,かげぶんしん,ノーマル,変化,0,0,15
アーボ,とぐろをまく,どく,変化,0,0,20
アーボ,にらみつける,ノーマル,変化,0,100,30
アーボ,アシッドボム,どく,特殊,40,100,20
アーボ,どろばくだん,じめん,特殊,65,85,10
アーボ,ヘドロウェーブ,どく,特殊,95,100,10
アーボ,ヘドロばくだん,どく,特殊,90,100,10
アーボ,ベノムショック,どく,特殊,65,100,10
アーボ,めざめるパワー,ノーマル,特殊,60,100,15
アーボ,アイアンテール,はがね,物理,100,75,15
アーボ,がんせきふうじ,いわ,物理,60,95,15
アーボ,ダストシュート,どく,物理,120,80,5
アーボ,どくどくのキバ,どく,物理,50,100,15
アーボ,ポイズンテール,どく,物理,50,100,25
アーボ,ないしょばなし,ノーマル,変化,0,0,20
ウパー,ふぶき,こおり,特殊,110,70,5
ウパー,いびき,ノーマル,特殊,50,100,15
ウパー,きつけ,ノーマル,物理,70,100,10
ウパー,じしん,じめん,物理,100,100,10
ウパー,あくび,ノーマル,変化,0,0,10
ウパー,あられ,こおり,変化,0,0,10
ウパー,いばる,ノーマル,変化,0,85,15
ウパー,ねごと,ノーマル,変化,0,0,10
ウパー,ねむる,エスパー,変化,0,0,10
ウパー,のろい,ゴースト,変化,0,0,10
ウパー,まもる,ノーマル,変化,0,0,10
ウパー,はきだす,ノーマル,特殊,0,100,10
ウパー,じだんだ,じめん,物理,75,100,10
ウパー,じならし,じめん,物理,60,100,20
ウパー,にどげり,かくとう,物理,30,100,30
ウパー,あまごい,みず,変化,0,0,5
ウパー,どくどく,どく,変化,0,90,10
ウパー,ドわすれ,エスパー,変化,0,0,20
ウパー,のみこむ,ノーマル,変化,0,0,10
ウパー,みがわり,ノーマル,変化,0,0,10
ウパー,メロメロ,ノーマル,変化,0,100,15
ウパー,なみのり,みず,特殊,90,100,15
ウパー,ねっとう,みず,特殊,80,100,15
ウパー,りんしょう,ノーマル,特殊,60,100,15
ウパー,おんがえし,ノーマル,物理,0,100,20
ウパー,カウンター,かくとう,物理,0,100,20
ウパー,からげんき,ノーマル,物理,70,100,20
ウパー,たきのぼり,みず,物理,80,100,15
ウパー,のしかかり,ノーマル,物理,85,100,15
ウパー,やつあたり,ノーマル,物理,0,100,20
ウパー,アンコール,ノーマル,変化,0,100,5
ウパー,かいでんぱ,でんき,変化,0,100,15
ウパー,くろいきり,こおり,変化,0,0,30
ウパー,しろいきり,こおり,変化,0,0,30
ウパー,すなあらし,いわ,変化,0,0,10
ウパー,たくわえる,ノーマル,変化,0,0,20
ウパー,どろあそび,じめん,変化,0,0,15
ウパー,まとわりつく,むし,特殊,20,100,20
ウパー,みずでっぽう,みず,特殊,40,100,25
ウパー,みずのはどう,みず,特殊,60,100,20
ウパー,アクアテール,みず,物理,90,90,10
ウパー,グロウパンチ,かくとう,物理,40,100,20
ウパー,たたきつける,ノーマル,物理,80,75,20
ウパー,こごえるかぜ,こおり,特殊,55,95,15
ウパー,かげぶんしん,ノーマル,変化,0,0,15
ウパー,じこさいせい,ノーマル,変化,0,0,10
ウパー,しっぽをふる,ノーマル,変化,0,100,30
ウパー,アシッドボム,どく,特殊,40,100,20
ウパー,どろばくだん,じめん,特殊,65,85,10
ウパー,ヘドロウェーブ,どく,特殊,95,100,10
ウパー,ヘドロばくだん,どく,特殊,90,100,10
ウパー,マッドショット,じめん,特殊,55,95,15
ウパー,めざめるパワー,ノーマル,特殊,60,100,15
ウパー,れいとうビーム,こおり,特殊,90,100,10
ウパー,アイアンテール,はがね,物理,100,75,15
ウパー,れいとうパンチ,こおり,物理,75,100,15
ウパー,げんしのちから,いわ,特殊,60,100,5
ウパー,おさきにどうぞ,ノーマル,変化,0,0,15
ウパー,ガードスワップ,エスパー,変化,0,0,10
ウパー,しんぴのまもり,ノーマル,変化,0,0,25
ウパー,ないしょばなし,ノーマル,変化,0,0,20
ウパー,だいちのちから,じめん,特殊,90,100,10
エネコ,10まんボルト,でんき,特殊,90,100,15
エネコ,ふぶき,こおり,特殊,110,70,5
エネコ,いびき,ノーマル,特殊,50,100,15
エネコ,ずつき,ノーマル,物理,70,100,15
エネコ,いばる,ノーマル,変化,0,85,15
エネコ,うたう,ノーマル,変化,0,55,15
エネコ,さわぐ,ノーマル,特殊,90,100,10
エネコ,ねごと,ノーマル,変化,0,0,10
エネコ,ねむる,エスパー,変化,0,0,10
エネコ,まもる,ノーマル,変化,0,0,10
エネコ,ゆめくい,エスパー,特殊,100,100,15
エネコ,かみなり,でんき,特殊,110,70,10
エネコ,ふいうち,あく,物理,70,100,5
エネコ,ほしがる,ノーマル,物理,60,100,25
エネコ,あまえる,フェアリー,変化,0,100,20
エネコ,あまごい,みず,変化,0,0,5
エネコ,うそなき,あく,変化,0,100,20
エネコ,くすぐる,ノーマル,変化,0,100,20
エネコ,てだすけ,ノーマル,変化,0,0,20
エネコ,でんじは,でんき,変化,0,90,20
エネコ,どくどく,どく,変化,0,90,10
エネコ,なきごえ,ノーマル,変化,0,100,40
エネコ,ねこのて,ノーマル,変化,0,0,20
エネコ,まねっこ,ノーマル,変化,0,0,20
エネコ,みがわり,ノーマル,変化,0,0,10
エネコ,みやぶる,ノーマル,変化,0,0,40
エネコ,めいそう,エスパー,変化,0,0,20
エネコ,メロメロ,ノーマル,変化,0,100,15
エネコ,ゆうわく,ノーマル,変化,0,100,20
エネコ,りんしょう,ノーマル,特殊,60,100,15
エネコ,おんがえし,ノーマル,物理,0,100,20
エネコ,からげんき,ノーマル,物理,70,100,20
エネコ,たいあたり,ノーマル,物理,40,100,35
エネコ,だましうち,あく,物理,60,0,20
エネコ,とっておき,ノーマル,物理,140,100,5
エネコ,ねこだまし,ノーマル,物理,40,100,10
エネコ,くさむすび,くさ,特殊,0,100,20
エネコ,やつあたり,ノーマル,物理,0,100,20
エネコ,じこあんじ,ノーマル,変化,0,0,10
エネコ,にほんばれ,ほのお,変化,0,0,5
エネコ,ねがいごと,ノーマル,変化,0,0,10
エネコ,でんげきは,でんき,特殊,60,0,20
エネコ,みずのはどう,みず,特殊,60,100,20
エネコ,エコーボイス,ノーマル,特殊,40,100,15
エネコ,しっぺがえし,あく,物理,50,100,10
エネコ,いやしのすず,ノーマル,変化,0,0,5
エネコ,こごえるかぜ,こおり,特殊,55,95,15
エネコ,かげぶんしん,ノーマル,変化,0,0,15
エネコ,コスモパワー,エスパー,変化,0,0,20
エネコ,しっぽをふる,ノーマル,変化,0,100,30
エネコ,バトンタッチ,ノーマル,変化,0,0,40
エネコ,ふるいたてる,ノーマル,変化,0,0,30
エネコ,どろばくだん,じめん,特殊,65,85,10
エネコ,ハイパーボイス,ノーマル,特殊,90,100,10
エネコ,めざめるパワー,ノーマル,特殊,60,100,15
エネコ,れいとうビーム,こおり,特殊,90,100,10
エネコ,アイアンテール,はがね,物理,100,75,15
エネコ,おうふくビンタ,ノーマル,物理,15,85,10
エネコ,しねんのずつき,エスパー,物理,80,90,15
エネコ,すてみタックル,ノーマル,物理,120,100,15
エネコ,めざましビンタ,かくとう,物理,70,100,10
エネコ,ワイルドボルト,でんき,物理,90,100,15
エネコ,しんぴのまもり,ノーマル,変化,0,0,25
エネコ,シンプルビーム,ノーマル,変化,0,100,15
エネコ,ないしょばなし,ノーマル,変化,0,0,20
エネコ,シャドーボール,ゴースト,特殊,80,100,15
エネコ,ソーラービーム,くさ,特殊,120,100,10
エネコ,チャージビーム,でんき,特殊,50,90,10
エネコ,チャームボイス,フェアリー,特殊,40,0,15
オタチ,10まんボルト,でんき,特殊,90,100,15
オタチ,いびき,ノーマル,特殊,50,100,15
オタチ,いかり,ノーマル,物理,20,100,20
オタチ,きつけ,ノーマル,物理,70,100,10
オタチ,いばる,ノーマル,変化,0,85,15
オタチ,さわぐ,ノーマル,特殊,90,100,10
オタチ,ねごと,ノーマル,変化,0,0,10
オタチ,ねむる,エスパー,変化,0,0,10
オタチ,まもる,ノーマル,変化,0,0,10
オタチ,おいうち,あく,物理,40,100,20
オタチ,きりさく,ノーマル,物理,70,100,20
オタチ,かみなり,でんき,特殊,110,70,10
オタチ,どろぼう,あく,物理,60,100,25
オタチ,ひっかく,ノーマル,物理,40,100,35
オタチ,ふいうち,あく,物理,70,100,5
オタチ,ほしがる,ノーマル,物理,60,100,25
オタチ,あまえる,フェアリー,変化,0,100,20
オタチ,あまごい,みず,変化,0,0,5
オタチ,さきどり,ノーマル,変化,0,0,20
オタチ,てだすけ,ノーマル,変化,0,0,20
オタチ,どくどく,どく,変化,0,90,10
オタチ,トリック,エスパー,変化,0,100,10
オタチ,ドわすれ,エスパー,変化,0,0,20
オタチ,ねこのて,ノーマル,変化,0,0,20
オタチ,みがわり,ノーマル,変化,0,0,10
オタチ,みやぶる,ノーマル,変化,0,0,40
オタチ,メロメロ,ノーマル,変化,0,100,15
オタチ,ゆうわく,ノーマル,変化,0,100,20
オタチ,なみのり,みず,特殊,90,100,15
オタチ,りんしょう,ノーマル,特殊,60,100,15
オタチ,おんがえし,ノーマル,物理,0,100,20
オタチ,からげんき,ノーマル,物理,70,100,20
オタチ,かわらわり,かくとう,物理,75,100,15
オタチ,とっておき,ノーマル,物理,140,100,5
オタチ,なげつける,あく,物理,0,100,10
オタチ,くさむすび,くさ,特殊,0,100,20
オタチ,ぶんまわす,あく,物理,65,100,20
オタチ,やつあたり,ノーマル,物理,0,100,20
オタチ,きあいだめ,ノーマル,変化,0,0,30
オタチ,にほんばれ,ほのお,変化,0,0,5
オタチ,まるくなる,ノーマル,変化,0,0,40
オタチ,でんげきは,でんき,特殊,60,0,20
オタチ,みずのはどう,みず,特殊,60,100,20
オタチ,アクアテール,みず,物理,90,90,10
オタチ,エコーボイス,ノーマル,特殊,40,100,15
オタチ,きあいパンチ,かくとう,物理,150,100,20
オタチ,きしかいせい,かくとう,物理,0,100,15
オタチ,たたきつける,ノーマル,物理,80,75,20
オタチ,とんぼがえり,むし,物理,70,100,20
オタチ,はたきおとす,あく,物理,65,100,20
オタチ,かげぶんしん,ノーマル,変化,0,0,15
オタチ,バトンタッチ,ノーマル,変化,0,0,40
オタチ,ふるいたてる,ノーマル,変化,0,0,30
オタチ,ハイパーボイス,ノーマル,特殊,90,100,10
オタチ,めざめるパワー,ノーマル,特殊,60,100,15
オタチ,れいとうビーム,こおり,特殊,90,100,10
オタチ,アイアンテール,はがね,物理,100,75,15
オタチ,いかりのまえば,ノーマル,物理,0,90,10
オタチ,かみなりパンチ,でんき,物理,75,100,15
オタチ,しぜんのめぐみ,ノーマル,物理,0,100,15
オタチ,シャドークロー,ゴースト,物理,70,100,15
オタチ,すてみタックル,ノーマル,物理,120,100,15
オタチ,かえんほうしゃ,ほのお,特殊,90,100,15
オタチ,でんこうせっか,ノーマル,物理,40,100,30
オタチ,ほのおのパンチ,ほのお,物理,75,100,15
オタチ,みだれひっかき,ノーマル,物理,18,80,15
オタチ,れいとうパンチ,こおり,物理,75,100,15
オタチ,このゆびとまれ,ノーマル,変化,0,0,20
オタチ,つぶらなひとみ,フェアリー,変化,0,100,30
オタチ,ないしょばなし,ノーマル,変化,0,0,20
オタチ,シャドーボール,ゴースト,特殊,80,100,15
オタチ,ソーラービーム,くさ,特殊,120,100,10
オタチ,チャージビーム,でんき,特殊,50,90,10
カブト,ふぶき,こおり,特殊,110,70,5
カブト,いびき,ノーマル,特殊,50,100,15
カブト,あられ,こおり,変化,0,0,10
カブト,いばる,ノーマル,変化,0,85,15
カブト,ねごと,ノーマル,変化,0,0,10
カブト,ねむる,エスパー,変化,0,0,10
カブト,まもる,ノーマル,変化,0,0,10
カブト,じたばた,ノーマル,物理,0,100,15
カブト,とっしん,ノーマル,物理,90,85,20
カブト,どろぼう,あく,物理,60,100,25
カブト,ひっかく,ノーマル,物理,40,100,35
カブト,あまごい,みず,変化,0,0,5
カブト,こらえる,ノーマル,変化,0,0,10
カブト,すなかけ,じめん,変化,0,100,15
カブト,てっぺき,はがね,変化,0,0,15
カブト,どくどく,どく,変化,0,90,10
カブト,みがわり,ノーマル,変化,0,0,10
カブト,みやぶる,ノーマル,変化,0,0,40
カブト,メロメロ,ノーマル,変化,0,100,15
カブト,すいとる,くさ,特殊,20,100,25
カブト,なみのり,みず,特殊,90,100,15
カブト,ねっとう,みず,特殊,80,100,15
カブト,りんしょう,ノーマル,特殊,60,100,15
カブト,いわなだれ,いわ,物理,75,90,10
カブト,うちおとす,いわ,物理,50,100,15
カブト,おんがえし,ノーマル,物理,0,100,20
カブト,からげんき,ノーマル,物理,70,100,20
カブト,たきのぼり,みず,物理,80,100,15
カブト,やつあたり,ノーマル,物理,0,100,20
カブト,いやなおと,ノーマル,変化,0,85,40
カブト,かたくなる,ノーマル,変化,0,0,30
カブト,すなあらし,いわ,変化,0,0,10
カブト,みずのはどう,みず,特殊,60,100,20
カブト,メガドレイン,くさ,特殊,40,100,15
カブト,つばめがえし,ひこう,物理,60,0,20
カブト,ギガドレイン,くさ,特殊,75,100,10
カブト,はたきおとす,あく,物理,65,100,20
カブト,こごえるかぜ,こおり,特殊,55,95,15
カブト,かげぶんしん,ノーマル,変化,0,0,15
カブト,きんぞくおん,はがね,変化,0,85,40
カブト,にらみつける,ノーマル,変化,0,100,30
カブト,ロックカット,いわ,変化,0,0,20
カブト,バブルこうせん,みず,特殊,65,100,20
カブト,マッドショット,じめん,特殊,55,95,15
カブト,めざめるパワー,ノーマル,特殊,60,100,15
カブト,れいとうビーム,こおり,特殊,90,100,10
カブト,アクアジェット,みず,物理,40,100,20
カブト,がんせきふうじ,いわ,物理,60,95,15
カブト,オーロラビーム,こおり,特殊,65,100,20
カブト,こうそくスピン,ノーマル,物理,20,100,40
カブト,げんしのちから,いわ,特殊,60,100,5
カブト,あやしいひかり,ゴースト,変化,0,100,10
カブト,ステルスロック,いわ,変化,0,0,20
カブト,ないしょばなし,ノーマル,変化,0,0,20
カブト,だいちのちから,じめん,特殊,90,100,10
キバゴ,いびき,ノーマル,特殊,50,100,15
キバゴ,いかり,ノーマル,物理,20,100,20
キバゴ,ほえる,ノーマル,変化,0,0,20
キバゴ,かいりき,ノーマル,物理,80,100,15
キバゴ,きりさく,ノーマル,物理,70,100,20
キバゴ,げきりん,ドラゴン,物理,120,100,10
キバゴ,ダメおし,あく,物理,60,100,10
キバゴ,つじぎり,あく,物理,70,100,15
キバゴ,どくづき,どく,物理,80,100,20
キバゴ,ひっかく,ノーマル,物理,40,100,35
キバゴ,みねうち,ノーマル,物理,40,100,40
キバゴ,あまごい,みず,変化,0,0,5
キバゴ,こらえる,ノーマル,変化,0,0,10
キバゴ,つめとぎ,あく,変化,0,0,15
キバゴ,どくどく,どく,変化,0,90,10
キバゴ,みがわり,ノーマル,変化,0,0,10
キバゴ,メロメロ,ノーマル,変化,0,100,15
キバゴ,あなをほる,じめん,物理,80,100,10
キバゴ,いあいぎり,ノーマル,物理,50,95,30
キバゴ,いわくだき,かくとう,物理,40,100,15
キバゴ,カウンター,かくとう,物理,0,100,20
キバゴ,がむしゃら,ノーマル,物理,0,100,5
キバゴ,かまいたち,ノーマル,特殊,80,100,10
キバゴ,なげつける,あく,物理,0,100,10
キバゴ,ばかぢから,かくとう,物理,120,100,5
キバゴ,かたくなる,ノーマル,変化,0,0,30
キバゴ,きあいだめ,ノーマル,変化,0,0,30
キバゴ,こわいかお,ノーマル,変化,0,100,10
キバゴ,ちょうはつ,あく,変化,0,100,20
キバゴ,にほんばれ,ほのお,変化,0,0,5
キバゴ,でんげきは,でんき,特殊,60,0,20
キバゴ,アクアテール,みず,物理,90,90,10
キバゴ,きしかいせい,かくとう,物理,0,100,15
キバゴ,シザークロス,むし,物理,80,100,15
キバゴ,つばめがえし,ひこう,物理,60,0,20
キバゴ,つるぎのまい,ノーマル,変化,0,0,20
キバゴ,りゅうのまい,ドラゴン,変化,0,0,20
キバゴ,りゅうのいかり,ドラゴン,特殊,0,100,10
キバゴ,りゅうのはどう,ドラゴン,特殊,85,100,10
キバゴ,アイアンテール,はがね,物理,100,75,15
キバゴ,ギガインパクト,ノーマル,物理,150,90,5
キバゴ,ダブルチョップ,ドラゴン,物理,40,90,15
キバゴ,ドラゴンクロー,ドラゴン,物理,80,100,15
キバゴ,ハサミギロチン,ノーマル,物理,0,30,5
キバゴ,ひみつのちから,ノーマル,物理,70,100,20
キモリ,いびき,ノーマル,特殊,50,100,15
キモリ,きつけ,ノーマル,物理,70,100,10
キモリ,はたく,ノーマル,物理,40,100,35
キモリ,いばる,ノーマル,変化,0,85,15
キモリ,ねごと,ノーマル,変化,0,0,10
キモリ,ねむる,エスパー,変化,0,0,10
キモリ,まもる,ノーマル,変化,0,0,10
キモリ,みきり,かくとう,変化,0,0,5
キモリ,おいうち,あく,物理,40,100,20
キモリ,けたぐり,かくとう,物理,0,100,20
キモリ,かみなり,でんき,特殊,110,70,10
キモリ,にどげり,かくとう,物理,30,100,30
キモリ,くさぶえ,くさ,変化,0,55,15
キモリ,どくどく,どく,変化,0,90,10
キモリ,みがわり,ノーマル,変化,0,0,10
キモリ,メロメロ,ノーマル,変化,0,100,15
キモリ,すいとる,くさ,特殊,20,100,25
キモリ,りんしょう,ノーマル,特殊,60,100,15
キモリ,いわなだれ,いわ,物理,75,90,10
キモリ,おんがえし,ノーマル,物理,0,100,20
キモリ,かみくだく,あく,物理,80,100,15
キモリ,がむしゃら,ノーマル,物理,0,100,5
キモリ,からげんき,ノーマル,物理,70,100,20
キモリ,かわらわり,かくとう,物理,75,100,15
キモリ,かまいたち,ノーマル,特殊,80,100,10
キモリ,なげつける,あく,物理,0,100,10
キモリ,くさむすび,くさ,特殊,0,100,20
キモリ,やつあたり,ノーマル,物理,0,100,20
キモリ,どろあそび,じめん,変化,0,0,15
キモリ,にほんばれ,ほのお,変化,0,0,5
キモリ,メガドレイン,くさ,特殊,40,100,15
キモリ,アクロバット,ひこう,物理,55,100,15
キモリ,きあいパンチ,かくとう,物理,150,100,20
キモリ,たたきつける,ノーマル,物理,80,75,20
キモリ,タネばくだん,くさ,物理,80,100,15
キモリ,つばめがえし,ひこう,物理,60,0,20
キモリ,ギガドレイン,くさ,特殊,75,100,10
キモリ,かげぶんしん,ノーマル,変化,0,0,15
キモリ,こうごうせい,くさ,変化,0,0,5
キモリ,つるぎのまい,ノーマル,変化,0,0,20
キモリ,なやみのタネ,くさ,変化,0,100,10
キモリ,にらみつける,ノーマル,変化,0,100,30
キモリ,ふるいたてる,ノーマル,変化,0,0,30
キモリ,マジカルリーフ,くさ,特殊,60,0,20
キモリ,めざめるパワー,ノーマル,特殊,60,100,15
キモリ,リーフストーム,くさ,特殊,130,90,5
キモリ,りゅうのいぶき,ドラゴン,特殊,60,100,20
キモリ,アイアンテール,はがね,物理,100,75,15
キモリ,エナジーボール,くさ,特殊,90,100,10
キモリ,かみなりパンチ,でんき,物理,75,100,15
キモリ,がんせきふうじ,いわ,物理,60,95,15
キモリ,しぜんのめぐみ,ノーマル,物理,0,100,15
キモリ,タネマシンガン,くさ,物理,25,100,30
キモリ,でんこうせっか,ノーマル,物理,40,100,30
キモリ,ドレインパンチ,かくとう,物理,75,100,10
キモリ,ブレイククロー,ノーマル,物理,75,95,10
キモリ,こうそくいどう,エスパー,変化,0,0,30
キモリ,しぜんのちから,ノーマル,変化,0,0,20
キモリ,しんぴのまもり,ノーマル,変化,0,0,25
キモリ,ないしょばなし,ノーマル,変化,0,0,20
キモリ,ファストガード,かくとう,変化,0,0,15
キモリ,やどりぎのタネ,くさ,変化,0,90,10
キモリ,ソーラービーム,くさ,特殊,120,100,10
キモリ,グラスフィールド,くさ,変化,0,0,10
ギアル,10まんボルト,でんき,特殊,90,100,15
ギアル,いびき,ノーマル,特殊,50,100,15
ギアル,はさむ,ノーマル,物理,55,100,30
ギアル,さわぐ,ノーマル,特殊,90,100,10
ギアル,ほうでん,でんき,特殊,80,100,15
ギアル,かみなり,でんき,特殊,110,70,10
ギアル,てっぺき,はがね,変化,0,0,15
ギアル,でんじは,でんき,変化,0,90,20
ギアル,どくどく,どく,変化,0,90,10
ギアル,みがわり,ノーマル,変化,0,0,10
ギアル,いわくだき,かくとう,物理,40,100,15
ギアル,しめつける,ノーマル,物理,15,85,20
ギアル,いやなおと,ノーマル,変化,0,85,40
ギアル,じばそうさ,でんき,変化,0,0,20
ギアル,じゅうでん,でんき,変化,0,0,20
ギアル,すなあらし,いわ,変化,0,0,10
ギアル,リサイクル,ノーマル,変化,0,0,10
ギアル,ロックオン,ノーマル,変化,0,0,5
ギアル,でんげきは,でんき,特殊,60,0,20
ギアル,でんじほう,でんき,特殊,120,50,5
ギアル,ギアソーサー,はがね,物理,50,85,15
ギアル,ギアチェンジ,はがね,変化,0,0,10
ギアル,きんぞくおん,はがね,変化,0,85,40
ギアル,じゅうりょく,エスパー,変化,0,0,5
ギアル,テレキネシス,エスパー,変化,0,0,15
ギアル,でんじふゆう,でんき,変化,0,0,10
ギアル,ボディパージ,はがね,変化,0,0,15
ギアル,はかいこうせん,ノーマル,特殊,150,90,5
ギアル,ボルトチェンジ,でんき,特殊,70,100,20
ギアル,ミラーショット,はがね,特殊,65,85,10
ギアル,ラスターカノン,はがね,特殊,80,100,10
ギアル,ひみつのちから,ノーマル,物理,70,100,20
ギアル,ワイルドボルト,でんき,物理,90,100,15
ギアル,シグナルビーム,むし,特殊,75,100,15
ギアル,マジックコート,エスパー,変化,0,0,15
ギアル,チャージビーム,でんき,特殊,50,90,10
ギアル,でんきショック,でんき,特殊,40,100,30
